,type,dimensions,ari,ami,ch,sc
0,nd-laplace-truncated,2,0.8340096169985698,0.7903797384808608,1768.4140392946179,0.37117312890182497
1,nd-laplace-truncated,3,0.8226658970711698,0.7689635323510389,1527.4335108173211,0.41090599118729293
2,nd-laplace-truncated,4,0.8253280829414411,0.7660716025099302,749.2992096428054,0.28078799331210147
3,nd-laplace-truncated,5,0.5743546708243006,0.6061870481532428,577.3916193209664,0.2610195941182485
4,nd-laplace-truncated,6,0.7437556579672747,0.7378633335246356,536.0707320079548,0.24039480706872154
5,nd-laplace-truncated,7,0.662250864184232,0.6800168986712596,582.0538086742788,0.2372699846042603
6,nd-laplace-truncated,8,0.7527241814050378,0.7612107869919716,536.1944413757842,0.21699707491109899
7,nd-laplace-truncated,9,0.7184042864191891,0.7368037632558909,532.3270525999632,0.21203839239207226
8,nd-laplace,2,0.8373806915180584,0.7912425002583445,1726.377459183165,0.36695351264665854
9,nd-laplace,3,0.8385412702642585,0.7854068721265038,1517.4884559246584,0.41130991809222406
10,nd-laplace,4,0.8059798403345084,0.7447435053121978,790.8531163758153,0.2821183863708996
11,nd-laplace,5,0.5970534102015935,0.617271603443785,611.6584561037887,0.26471616275884013
12,nd-laplace,6,0.7676425962452144,0.7496535222393873,534.4922625772105,0.24037417925190968
13,nd-laplace,7,0.6220287501191603,0.6472930153753862,581.1263016314715,0.23521955644109732
14,nd-laplace,8,0.7426117224699439,0.7432486263083018,533.9586307013617,0.21732474143163488
15,nd-laplace,9,0.6490092723850129,0.686839109569357,549.0601209759484,0.2049836162161874
16,nd-piecewise,2,0.17772796127244167,0.1649536200297329,1784.2303406074448,0.36011057351657993
17,nd-piecewise,3,0.18177983273203496,0.12271379149607128,1352.3119965906967,0.3704604297098598
18,nd-piecewise,4,0.06226407691691325,0.037650348473619345,731.1256449939358,0.33909917540775303
19,nd-piecewise,5,0.07234893319763426,0.04155298342539781,498.17091315808483,0.27860194725762105
20,nd-piecewise,6,0.1300401248184717,0.09218906341551557,388.6175961994882,0.19485524492173156
21,nd-piecewise,7,0.20293149040673372,0.15129966870306075,353.13031800727805,0.189573871773626
22,nd-piecewise,8,0.15639047894037453,0.1226010411898927,294.6103764312754,0.16495423421621794
23,nd-piecewise,9,0.17668080726954177,0.14390669577076526,263.53150617611607,0.1521584406760232
